date,CHFUSD,EURUSD
2005-01-03,0.871,1.34641
2005-01-04,0.8567,1.32801
2005-01-05,0.8558,1.32611
2005-01-06,0.8511,1.31711
2005-01-07,0.8442,1.30441
2005-01-10,0.8458,1.30741
2005-01-11,0.845,1.31051
2005-01-12,0.8558,1.32551
2005-01-13,0.8536,1.32241
2005-01-14,0.8475,1.31031
2005-01-17,0.845,1.30671
2005-01-18,0.8435,1.30191
2005-01-19,0.8432,1.30101
2005-01-20,0.8404,1.29611
2005-01-21,0.844,1.30451
2005-01-24,0.8451,1.30591
2005-01-25,0.838,1.29741
2005-01-26,0.8445,1.30731
2005-01-27,0.8445,1.30441
2005-01-28,0.8428,1.30461
2005-01-31,0.8411,1.30371
2005-02-01,0.8397,1.30451
2005-02-02,0.8382,1.30261
2005-02-03,0.8318,1.29741
2005-02-04,0.8254,1.28731
2005-02-07,0.8165,1.27561
2005-02-08,0.8185,1.27611
2005-02-09,0.8219,1.28051
2005-02-10,0.8275,1.28731
2005-02-11,0.8261,1.28671
2005-02-14,0.8347,1.29751
2005-02-15,0.8404,1.30251
2005-02-16,0.8421,1.30301
2005-02-17,0.8443,1.30701
2005-02-18,0.8452,1.30681
2005-02-21,0.846,1.30671
2005-02-22,0.8634,1.32581
2005-02-23,0.8593,1.32161
2005-02-24,0.8553,1.31961
2005-02-25,0.8608,1.32421
2005-02-28,0.8596,1.32281
2005-03-01,0.8582,1.31871
2005-03-02,0.8522,1.31431
2005-03-03,0.8466,1.31081
2005-03-04,0.855,1.32411
2005-03-07,0.851,1.32131
2005-03-08,0.8609,1.33431
2005-03-09,0.8629,1.33921
2005-03-10,0.8665,1.34181
2005-03-11,0.8694,1.34501
2005-03-14,0.8623,1.33681
2005-03-15,0.8583,1.33021
2005-03-16,0.8674,1.34151
2005-03-17,0.8644,1.33771
2005-03-18,0.8591,1.33131
2005-03-21,0.8484,1.31561
2005-03-22,0.8416,1.30861
2005-03-23,0.8359,1.29851
2005-03-24,0.8321,1.29381
2005-03-25,0.8334,1.29571
2005-03-28,0.83,1.28961
2005-03-29,0.832,1.29211
2005-03-30,0.8333,1.29141
2005-03-31,0.8361,1.29631
2005-04-01,0.8312,1.29081
2005-04-04,0.8267,1.28471
2005-04-05,0.83,1.28681
2005-04-06,0.8293,1.28711
2005-04-07,0.8285,1.28551
2005-04-08,0.8351,1.29281
2005-04-11,0.8377,1.29721
2005-04-12,0.834,1.29211
2005-04-13,0.8336,1.29131
2005-04-14,0.8236,1.28121
2005-04-15,0.8336,1.29181
2005-04-18,0.8419,1.30251
2005-04-19,0.847,1.30631
2005-04-20,0.8488,1.30861
2005-04-21,0.8453,1.30451
2005-04-22,0.8466,1.30641
2005-04-25,0.8423,1.30061
2005-04-26,0.8425,1.29841
2005-04-27,0.8385,1.29301
2005-04-28,0.8382,1.28921
2005-04-29,0.8366,1.28691
2005-05-02,0.835,1.28631
2005-05-03,0.8344,1.28701
2005-05-04,0.8389,1.29451
2005-05-05,0.8379,1.29581
2005-05-06,0.8285,1.28231
2005-05-09,0.8296,1.28431
2005-05-10,0.8327,1.28801
2005-05-11,0.8298,1.28151
2005-05-12,0.8226,1.26931
2005-05-13,0.8171,1.26221
2005-05-16,0.8183,1.26401
2005-05-17,0.8161,1.26051
2005-05-18,0.8212,1.26781
2005-05-19,0.8185,1.26431
2005-05-20,0.8106,1.25601
2005-05-23,0.8124,1.25751
2005-05-24,0.8141,1.25831
2005-05-25,0.8151,1.26001
2005-05-26,0.809,1.25111
2005-05-27,0.8126,1.25801
2005-05-30,0.807,1.24741
2005-05-31,0.8012,1.23021
2005-06-01,0.7951,1.21791
2005-06-02,0.7989,1.22661
2005-06-03,0.7982,1.22231
2005-06-06,0.8007,1.22591
2005-06-07,0.8031,1.22851
2005-06-08,0.7969,1.22321
2005-06-09,0.7971,1.22291
2005-06-10,0.788,1.21201
2005-06-13,0.7872,1.21071
2005-06-14,0.7828,1.20301
2005-06-15,0.7868,1.21151
2005-06-16,0.7862,1.21071
2005-06-17,0.7952,1.22761
2005-06-20,0.7869,1.21541
2005-06-21,0.7901,1.21821
2005-06-22,0.786,1.21271
2005-06-23,0.7819,1.20381
2005-06-24,0.7848,1.21021
2005-06-27,0.7882,1.21641
2005-06-28,0.7802,1.20521
2005-06-29,0.7797,1.20701
2005-06-30,0.7803,1.21051
2005-07-01,0.771,1.19481
2005-07-04,0.7669,1.19001
2005-07-05,0.7668,1.19111
2005-07-06,0.7679,1.19321
2005-07-07,0.7702,1.19501
2005-07-08,0.7695,1.19591
2005-07-11,0.7768,1.20711
2005-07-12,0.7866,1.22411
2005-07-13,0.7753,1.20931
2005-07-14,0.7751,1.20831
2005-07-15,0.7718,1.20421
2005-07-18,0.7724,1.20511
2005-07-19,0.7692,1.20331
2005-07-20,0.7771,1.21401
2005-07-21,0.7782,1.21711
2005-07-22,0.771,1.20611
2005-07-25,0.7714,1.20601
2005-07-26,0.7694,1.20131
2005-07-27,0.7721,1.20681
2005-07-28,0.778,1.21381
2005-07-29,0.7756,1.21241
2005-08-01,0.7815,1.21801
2005-08-02,0.783,1.21891
2005-08-03,0.7928,1.23351
2005-08-04,0.7949,1.23841
2005-08-05,0.792,1.23511
2005-08-08,0.7927,1.23501
2005-08-09,0.7939,1.23701
2005-08-10,0.7955,1.23821
2005-08-11,0.8027,1.24701
2005-08-12,0.8014,1.24361
2005-08-15,0.7969,1.23671
2005-08-16,0.7973,1.23631
2005-08-17,0.7923,1.22701
2005-08-18,0.7867,1.21751
2005-08-19,0.7839,1.21641
2005-08-22,0.7872,1.22261
2005-08-23,0.7873,1.22351
2005-08-24,0.7907,1.22721
2005-08-25,0.7961,1.23001
2005-08-26,0.7942,1.22841
2005-08-29,0.7892,1.22341
2005-08-30,0.7876,1.22201
2005-08-31,0.798,1.23461
2005-09-01,0.81,1.25021
2005-09-02,0.8129,1.25441
2005-09-05,0.8117,1.25411
2005-09-06,0.8076,1.24651
2005-09-07,0.8043,1.24151
2005-09-08,0.8032,1.23971
2005-09-09,0.8045,1.24121
2005-09-12,0.7947,1.22861
2005-09-13,0.7927,1.22661
2005-09-14,0.7951,1.22841
2005-09-15,0.7888,1.22231
2005-09-16,0.7876,1.22331
2005-09-19,0.7819,1.21411
2005-09-20,0.7798,1.21141
2005-09-21,0.787,1.22131
2005-09-22,0.7821,1.21541
2005-09-23,0.7738,1.20471
2005-09-26,0.7755,1.20721
2005-09-27,0.7716,1.20131
2005-09-28,0.7738,1.20361
2005-09-29,0.7727,1.20311
2005-09-30,0.7727,1.20191
2005-10-03,0.7681,1.19181
2005-10-04,0.7682,1.19171
2005-10-05,0.7733,1.19741
2005-10-06,0.7869,1.21791
2005-10-07,0.7826,1.21241
2005-10-10,0.7793,1.20661
2005-10-11,0.7753,1.19921
2005-10-12,0.7767,1.20231
2005-10-13,0.7754,1.20241
2005-10-14,0.7781,1.20841
2005-10-17,0.7737,1.20241
2005-10-18,0.7701,1.19591
2005-10-19,0.7723,1.19911
2005-10-20,0.7766,1.20231
2005-10-21,0.7739,1.19511
2005-10-24,0.7769,1.19861
2005-10-25,0.7833,1.21051
2005-10-26,0.7793,1.20661
2005-10-27,0.7854,1.21401
2005-10-28,0.7811,1.20681
2005-10-31,0.7761,1.19901
2005-11-01,0.7763,1.20191
2005-11-02,0.7825,1.20731
2005-11-03,0.7741,1.19441
2005-11-04,0.7648,1.18231
2005-11-07,0.7657,1.18031
2005-11-08,0.7627,1.17801
2005-11-09,0.7628,1.17631
2005-11-10,0.7601,1.16851
2005-11-11,0.7624,1.17281
2005-11-14,0.7584,1.16901
2005-11-15,0.7595,1.17191
2005-11-16,0.7544,1.16691
2005-11-17,0.759,1.17491
2005-11-18,0.7609,1.17661
2005-11-21,0.7576,1.17251
2005-11-22,0.7628,1.18131
2005-11-23,0.7626,1.18221
2005-11-24,0.7602,1.17881
2005-11-25,0.7585,1.17251
2005-11-28,0.766,1.18501
2005-11-29,0.7611,1.17791
2005-11-30,0.7603,1.17871
2005-12-01,0.7586,1.17371
2005-12-02,0.7594,1.17191
2005-12-05,0.7651,1.17881
2005-12-06,0.7651,1.17781
2005-12-07,0.7613,1.17231
2005-12-08,0.7692,1.18181
2005-12-09,0.7677,1.18151
2005-12-12,0.775,1.19541
2005-12-13,0.7732,1.19431
2005-12-14,0.7802,1.20001
2005-12-15,0.7757,1.19791
2005-12-16,0.7752,1.20141
2005-12-19,0.7738,1.20061
2005-12-20,0.764,1.18571
2005-12-21,0.7617,1.18371
2005-12-22,0.7621,1.18661
2005-12-23,0.7622,1.18741
2005-12-27,0.7588,1.18271
2005-12-28,0.7591,1.18331
2005-12-29,0.7607,1.18401
2005-12-30,0.7613,1.18391
2006-01-03,0.775,1.20181
2006-01-04,0.7833,1.21181
2006-01-05,0.7838,1.21091
2006-01-06,0.7871,1.21531
2006-01-09,0.7839,1.20881
2006-01-10,0.781,1.20641
2006-01-11,0.7838,1.21261
2006-01-12,0.778,1.20361
2006-01-13,0.7833,1.21321
2006-01-16,0.7817,1.21251
2006-01-17,0.781,1.21061
2006-01-18,0.7816,1.21121
2006-01-19,0.7789,1.20981
2006-01-20,0.7834,1.21371
2006-01-23,0.7957,1.23041
2006-01-24,0.793,1.22791
2006-01-25,0.7905,1.22401
2006-01-26,0.7874,1.22061
2006-01-27,0.7784,1.21011
2006-01-30,0.7771,1.20901
2006-01-31,0.7825,1.21571
2006-02-01,0.7758,1.20651
2006-02-02,0.7776,1.20901
2006-02-03,0.7723,1.20201
2006-02-06,0.7687,1.19651
2006-02-07,0.771,1.19801
2006-02-08,0.7698,1.19611
2006-02-09,0.7696,1.19781
2006-02-10,0.7651,1.18951
2006-02-13,0.7644,1.18951
2006-02-14,0.7647,1.19151
2006-02-15,0.7631,1.18881
2006-02-16,0.7635,1.19051
2006-02-17,0.7633,1.19331
2006-02-20,0.7648,1.19371
2006-02-21,0.7644,1.19111
2006-02-22,0.7628,1.19121
2006-02-23,0.7638,1.19171
2006-02-24,0.7591,1.18681
2006-02-27,0.756,1.18451
2006-02-28,0.7624,1.19211
2006-03-01,0.7616,1.19231
2006-03-02,0.7704,1.20391
2006-03-03,0.7711,1.20361
2006-03-06,0.77,1.20161
2006-03-07,0.7613,1.18881
2006-03-08,0.7647,1.19251
2006-03-09,0.761,1.19081
2006-03-10,0.759,1.19161
2006-03-13,0.7621,1.19631
2006-03-14,0.7676,1.20121
2006-03-15,0.7717,1.20691
2006-03-16,0.7755,1.21821
2006-03-17,0.7754,1.21931
2006-03-20,0.7744,1.21631
2006-03-21,0.7684,1.20941
2006-03-22,0.7664,1.20771
2006-03-23,0.7594,1.19711
2006-03-24,0.7629,1.20361
2006-03-27,0.7638,1.20161
2006-03-28,0.764,1.19991
2006-03-29,0.7638,1.20231
2006-03-30,0.7708,1.21661
2006-03-31,0.767,1.21181
2006-04-03,0.7665,1.21381
2006-04-04,0.7748,1.22571
2006-04-05,0.7791,1.22871
2006-04-06,0.7751,1.22291
2006-04-07,0.7682,1.21011
2006-04-10,0.7677,1.21101
2006-04-11,0.7702,1.21431
2006-04-12,0.7699,1.21031
2006-04-13,0.7705,1.21081
2006-04-14,0.7701,1.21121
